lake_name,age_CE,summer_temperature,winter_temperature,summer_precipitation,winter_precipitation,layer,detrended_thickness,record_ID
Lake DV09,1861,0.25646362304689774,-33.741959635416634,34.17450714111328,10.996025721232096,varve,0.01399999999999995,Lake DV09 - varve
Lake DV09,1862,0.06754964192708712,-36.24259541829426,40.56093088785807,11.659343083699545,varve,-0.006,Lake DV09 - varve
Lake DV09,1863,-0.15168863932291288,-34.976461791992165,35.945831298828125,10.16523265838623,varve,-0.02100000000000002,Lake DV09 - varve
Lake DV09,1864,-0.8795023600260379,-33.8330393473307,39.684672037760414,10.066489855448404,varve,0.223,Lake DV09 - varve
Lake DV09,1865,-0.26961873372391665,-35.304093424479134,37.507982889811196,10.17238712310791,varve,0.061,Lake DV09 - varve
Lake DV09,1866,0.018314615885458352,-35.34080098470051,38.98760096232096,10.560484568277994,varve,0.01299999999999995,Lake DV09 - varve
Lehmilampi,1766,15.290765380859398,-15.365474446614542,48.543164571126304,33.38395245869955,varve,0.28,Lehmilampi - varve
Lehmilampi,1767,13.832706705729208,-14.928182983398415,59.21900304158529,35.77475102742513,varve,0.04999999999999993,Lehmilampi - varve
Lehmilampi,1768,12.856225585937523,-9.863043212890602,65.80882898966472,39.99295171101888,varve,0,Lehmilampi - varve
Lehmilampi,1769,13.465712483723962,-13.665950520833292,58.91932805379232,37.40406163533529,varve,0.07999999999999996,Lehmilampi - varve
Lehmilampi,1770,13.505415852864587,-14.310517374674475,42.49547831217448,46.89666493733724,varve,0.03000000000000002,Lehmilampi - varve
Lehmilampi,1771,14.209395345052087,-15.895152791341104,63.79166793823242,37.94989522298177,varve,0.08000000000000007,Lehmilampi - varve
Lehmilampi,1772,11.998325602213583,-13.295609537760413,67.70396296183269,32.52895323435465,varve,-0.06999999999999995,Lehmilampi - varve
Lehmilampi,1773,14.623020426432333,-14.290757242838538,52.84233474731445,35.170480728149414,varve,0,Lehmilampi - varve
Lehmilampi,1774,15.195947265625023,-13.125413004557288,51.69863637288412,33.700843811035156,varve,0.02000000000000001,Lehmilampi - varve
Lehmilampi,1775,14.866052246093773,-13.573624674479163,60.86413828531901,41.152242024739586,varve,-0.1499999999999999,Lehmilampi - varve
Lehmilampi,1776,15.090264892578148,-13.340572102864542,48.16163635253906,44.1815185546875,varve,-0.16000000000000003,Lehmilampi - varve
